description,name,OBJECTID,OBJTYPE,NAVN,KOMM,OPPDATERIN,Shape_Leng,Shape_Area,geometry
,,1,Kommune,Sørfold,1845,1000/01/01,272215.89705099998,1828776291.86999988556,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>15.867723,67.776728 15.898426,67.764229 15.899302,67.76413 15.907311,67.763232 15.937153,67.759879 15.94809,67.764498 15.95851,67.768897 15.980567,67.760545 15.996692,67.748316 16.000178,67.74567 16.008611,67.739267 15.986407,67.725982 15.987683,67.722398 15.990994,67.713091 16.011743,67.717535 16.031882,67.721844 16.057047,67.737364 16.074006,67.733692 16.051166,67.721703 16.071449,67.718073 16.106999,67.729138 16.071153,67.706915 16.117734,67.706252 16.132423,67.700054 16.132859,67.69987 16.151591,67.691959 16.165773,67.685965 16.159925,67.671271 16.156535,67.662746 16.15024,67.6469 16.148554,67.64265 16.175783,67.630061 16.223423,67.607991 16.258478,67.591717 16.271488,67.585669 16.283544,67.580061 16.316924,67.564516 16.407567,67.534027 16.379173,67.532633 16.379171,67.532633 16.285595,67.527992 16.245694,67.525271 16.158002,67.51916 16.131388,67.486484 16.131388,67.486484 16.11306,67.463973 16.111221,67.461705 16.099816,67.447623 16.099754,67.447547 16.089829,67.435279 16.08983,67.435278 16.099153,67.42867 16.151925,67.391186 16.162737,67.383492 16.179865,67.371293 16.179964,67.371222 16.211425,67.348421 16.211426,67.348421 16.264646,67.309748 16.292751,67.289217 16.299685,67.284163 16.32998,67.262052 16.329977,67.262052 16.316182,67.263043 16.278702,67.265731 16.266694,67.26659 16.212587,67.270448 16.133674,67.27604 15.988621,67.286212 15.916524,67.285537 15.91596,67.285531 15.837313,67.284757 15.826459,67.309914 15.782524,67.31478 15.7404,67.308126 15.689108,67.275782 15.620526,67.260936 15.595696,67.25555 15.571296,67.264627 15.574957,67.270256 15.59165,67.295893 15.587889,67.299732 15.576589,67.311263 15.593578,67.319965 15.591304,67.324095 15.581668,67.341582 15.564447,67.342084 15.540514,67.342778 15.535733,67.342917 15.53501,67.344077 15.527779,67.355672 15.515993,67.357324 15.48634,67.361475 15.470051,67.363753 15.477829,67.372801 15.497227,67.395337 15.482405,67.416363 15.447937,67.433157 15.424893,67.444367 15.411195,67.446468 15.380392,67.451185 15.376861,67.451725 15.354339,67.44268 15.313387,67.441817 15.312196,67.441792 15.30784,67.441699 15.306107,67.442532 15.282778,67.453747 15.264616,67.442942 15.204264,67.438786 15.195366,67.427441 15.200883,67.423995 15.213659,67.416008 15.192234,67.413049 15.167974,67.409694 15.087846,67.42314 15.10246,67.445431 15.077615,67.471054 15.087084,67.476637 15.063617,67.484219 15.076454,67.487729 15.114445,67.498106 15.131417,67.502737 15.139475,67.512776 15.141209,67.514936 15.161664,67.514989 15.174709,67.531294 15.174709,67.531294 15.174709,67.531294 15.190096,67.530916 15.198901,67.5307 15.201805,67.530628 15.201774,67.529188 15.201754,67.528219 15.201568,67.519465 15.201491,67.515828 15.201815,67.515775 15.239856,67.509533 15.239764,67.509027 15.239763,67.509019 15.238989,67.50478 15.185749,67.4984 15.174118,67.499158 15.159185,67.500124 15.142755,67.489878 15.14902,67.488625 15.174845,67.483478 15.175739,67.480884 15.177273,67.476344 15.166429,67.46787 15.129484,67.459741 15.139914,67.448502 15.133383,67.433967 15.147876,67.432636 15.157713,67.454755 15.195679,67.461657 15.199318,67.463473 15.207279,67.467446 15.214419,67.471006 15.222029,67.474798 15.226401,67.476976 15.226898,67.477224 15.226754,67.477396 15.223242,67.481588 15.218868,67.486815 15.239816,67.496266 15.241392,67.496972 15.241936,67.496979 15.253204,67.497114 15.261296,67.497211 15.278755,67.496572 15.290411,67.505835 15.30253,67.504924 15.302754,67.504907 15.304474,67.504778 15.315083,67.503978 15.316377,67.503881 15.31812,67.503749 15.318249,67.50374 15.354095,67.501033 15.356049,67.500885 15.400356,67.497527 15.449388,67.490214 15.460368,67.483061 15.473204,67.48018 15.474937,67.480274 15.475826,67.477912 15.477271,67.474131 15.479382,67.468608 15.476938,67.457546 15.474136,67.444772 15.493368,67.437099 15.517451,67.42974 15.538777,67.408482 15.544378,67.370725 15.570703,67.375909 15.583964,67.374229 15.583931,67.373852 15.583043,67.358444 15.582552,67.349736 15.587336,67.348528 15.590553,67.347715 15.59279,67.348784 15.599335,67.351904 15.616867,67.360256 15.6354,67.369065 15.631195,67.372992 15.617794,67.373618 15.610256,67.37397 15.608668,67.376559 15.593489,67.401338 15.637203,67.406141 15.646801,67.403125 15.665281,67.400071 15.667082,67.40086 15.674253,67.403999 15.670023,67.40489 15.650181,67.409068 15.672971,67.415594 15.676158,67.419521 15.679669,67.423846 15.721842,67.438249 15.695419,67.438015 15.658792,67.42857 15.661864,67.422444 15.662618,67.420939 15.638989,67.412754 15.585492,67.409046 15.571583,67.412684 15.541845,67.4388 15.521601,67.441235 15.520926,67.441318 15.520884,67.441542 15.516514,67.460869 15.55461,67.464385 15.584829,67.4762 15.552355,67.472008 15.528993,67.476392 15.533277,67.486972 15.581139,67.517602 15.613221,67.528481 15.64886,67.540551 15.654471,67.542448 15.680649,67.552952 15.76528,67.563797 15.809003,67.57277 15.845746,67.572242 15.888333,67.578732 15.891082,67.579149 15.867111,67.586078 15.91841,67.594301 15.887549,67.595836 15.848096,67.591283 15.84454,67.585857 15.784787,67.581339 15.777329,67.574629 15.732972,67.571436 15.710252,67.568855 15.666805,67.563917 15.605257,67.544424 15.587727,67.537608 15.536645,67.516939 15.517694,67.509744 15.494475,67.519684 15.473491,67.525128 15.46429,67.534125 15.433708,67.528828 15.405605,67.530694 15.386936,67.536122 15.356382,67.531707 15.28376,67.537233 15.222909,67.550782 15.213453,67.56138 15.227849,67.583812 15.212048,67.590641 15.237402,67.592023 15.215467,67.599481 15.225556,67.604571 15.253156,67.605544 15.247367,67.61202 15.23566,67.61306 15.242401,67.61645 15.30604,67.620764 15.393546,67.599488 15.425553,67.597021 15.43519,67.58407 15.441609,67.57545 15.449798,67.5836 15.45598,67.589763 15.438313,67.60419 15.43282,67.608663 15.399888,67.608747 15.383444,67.613083 15.29996,67.634993 15.289678,67.637685 15.269592,67.640159 15.267102,67.638746 15.251107,67.629667 15.225989,67.625228 15.195363,67.625276 15.171212,67.6301 15.171212,67.6301 15.192625,67.643232 15.207705,67.642919 15.235799,67.642332 15.259549,67.657706 15.288764,67.656859 15.301136,67.656499 15.308138,67.656294 15.336597,67.641584 15.337146,67.641299 15.345826,67.636808 15.392171,67.666223 15.412442,67.654125 15.426419,67.645775 15.470979,67.636575 15.477902,67.639384 15.500042,67.648363 15.500867,67.648698 15.521313,67.65698 15.538614,67.650539 15.553724,67.644909 15.557345,67.643559 15.567347,67.647809 15.619113,67.66977 15.629333,67.6741 15.646526,67.672859 15.696383,67.669249 15.723273,67.667296 15.728408,67.704463 15.629661,67.710969 15.624209,67.711327 15.624389,67.71254 15.626972,67.729884 15.607689,67.738595 15.608461,67.740856 15.610958,67.748172 15.615398,67.761168 15.615398,67.761168 15.615398,67.761168 15.674255,67.738042 15.712688,67.730057 15.723806,67.730178 15.756427,67.730533 15.759201,67.71249 15.771037,67.705213 15.778144,67.700838 15.832963,67.681559 15.854091,67.711007 15.81693,67.705752 15.784521,67.714989 15.790185,67.734454 15.782856,67.741639 15.770054,67.745144 15.749471,67.74524 15.728987,67.748535 15.718933,67.752066 15.718933,67.752066 15.737405,67.760145 15.736989,67.76105 15.73501,67.765352 15.728577,67.779327 15.748935,67.780567 15.756616,67.781034 15.759434,67.781205 15.77359,67.782065 15.79098,67.783119 15.807213,67.778533 15.822762,67.774137 15.828971,67.772382 15.839468,67.77356 15.867723,67.776728</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>15.209939,67.60461 15.198233,67.59987 15.183405,67.601063 15.154864,67.602295 15.131719,67.610083 15.141172,67.617251 15.17647,67.617225 15.196649,67.610062 15.209939,67.60461</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
,,2,Kommune,Hadsel,1866,1000/01/01,160069.93595300001,1182392197.90000009537,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>15.419781,68.531941 15.403911,68.526598 15.403647,68.526509 15.415007,68.515354 15.41849,68.511931 15.427148,68.503418 15.42787,68.502709 15.405574,68.49349 15.428906,68.49032 15.428371,68.489997 15.407385,68.477324 15.410934,68.475987 15.411272,68.47586 15.421976,68.471827 15.43755,68.465956 15.43681,68.464511 15.433716,68.458464 15.428322,68.447916 15.32039,68.446749 15.305203,68.441092 15.279271,68.431423 15.272119,68.417994 15.272018,68.417804 15.266758,68.407918 15.238728,68.398131 15.228272,68.394476 15.193026,68.399328 15.160127,68.383198 15.131271,68.369441 15.137592,68.361814 15.145383,68.352406 15.14107,68.35137 15.057422,68.33123 15.04744,68.334229 15.036287,68.337579 15.036287,68.337579 15.048313,68.340468 15.050967,68.34383 15.066638,68.363664 15.101952,68.391351 15.103295,68.392409 15.109479,68.393078 15.133213,68.395649 15.133244,68.395652 15.133218,68.395662 15.128363,68.397405 15.114976,68.402204 15.118759,68.404094 15.188703,68.43891 15.200189,68.44461 15.195435,68.45049 15.193576,68.452788 15.198871,68.456354 15.212556,68.465564 15.215381,68.46747 15.217043,68.467675 15.233764,68.469733 15.262917,68.465447 15.277982,68.469665 15.326232,68.461408 15.337113,68.464328 15.397173,68.464851 15.394466,68.470598 15.393148,68.473417 15.314688,68.470255 15.256387,68.479503 15.226556,68.495986 15.214883,68.502441 15.224938,68.505369 15.241623,68.501427 15.246685,68.505993 15.235384,68.512288 15.232557,68.513861 15.256971,68.520167 15.260211,68.521005 15.26256,68.518875 15.269897,68.512236 15.271783,68.510529 15.283348,68.49842 15.32423,68.495404 15.355958,68.49534 15.36678,68.503971 15.346923,68.505493 15.295954,68.505259 15.290868,68.512201 15.286266,68.518478 15.276433,68.52271 15.258313,68.530515 15.175337,68.532918 15.190611,68.544004 15.208269,68.556791 15.206034,68.575099 15.259014,68.578739 15.267289,68.579309 15.276273,68.577599 15.309013,68.571354 15.327004,68.57278 15.343449,68.568163 15.356612,68.564464 15.408887,68.552273 15.411764,68.546908 15.414423,68.541947 15.417398,68.536392 15.419781,68.531941</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>14.924056,68.326791 14.924056,68.326791 14.922842,68.327138 14.826741,68.32957 14.829529,68.334697 14.835964,68.346523 14.781059,68.35949 14.75062,68.366665 14.725813,68.372505 14.663847,68.368777 14.630413,68.357451 14.598086,68.362526 14.593087,68.36331 14.572021,68.380537 14.572021,68.380537 14.578938,68.381614 14.580224,68.381806 14.586481,68.382781 14.586334,68.390862 14.575845,68.394889 14.562752,68.399923 14.55843,68.409356 14.529325,68.415457 14.551524,68.423653 14.594523,68.429619 14.605217,68.434201 14.651312,68.43764 14.676578,68.430443 14.688416,68.413228 14.679502,68.408098 14.673633,68.404733 14.69827,68.390195 14.707991,68.39111 14.711527,68.392425 14.717679,68.394714 14.710287,68.401876 14.710237,68.402002 14.703922,68.421382 14.702679,68.425182 14.705109,68.429456 14.705347,68.429869 14.709828,68.43776 14.746385,68.441398 14.790232,68.436087 14.826192,68.431722 14.834229,68.430746 14.838503,68.424529 14.844077,68.416414 14.824756,68.39486 14.800531,68.384976 14.798122,68.379583 14.816281,68.377622 14.819845,68.378962 14.865803,68.396217 14.891487,68.389401 14.892888,68.396721 14.870877,68.415531 14.870847,68.420921 14.884609,68.431093 14.887839,68.433481 14.890251,68.438873 14.888036,68.445547 14.887751,68.446405 14.882844,68.461281 14.904787,68.461295 14.905696,68.447967 14.974193,68.447023 14.988297,68.436621 14.996952,68.437007 15.002584,68.43724 15.003218,68.437267 14.995755,68.452891 15.026817,68.455938 15.031713,68.449659 15.039006,68.448761 15.046331,68.452346 15.051203,68.459484 15.053676,68.463107 15.084993,68.463094 15.095172,68.463088 15.124478,68.46576 15.153652,68.465906 15.157044,68.472764 15.188754,68.474364 15.186856,68.463415 15.186139,68.459335 15.184647,68.458257 15.162662,68.442363 15.155274,68.439034 15.135934,68.430297 15.129218,68.419513 15.106048,68.408802 15.083363,68.398304 15.078337,68.387516 15.050036,68.37315 15.02596,68.36825 15.003211,68.383902 14.99825,68.368288 14.93378,68.362086 14.989162,68.362099 14.965209,68.341278 14.924056,68.326791 14.924056,68.326791</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>14.722587,68.512224 14.705998,68.520626 14.704347,68.521466 14.702992,68.522146 14.689576,68.526041 14.676245,68.525361 14.666017,68.540014 14.645957,68.541605 14.634085,68.551688 14.611546,68.551314 14.610476,68.565007 14.63538,68.576157 14.670336,68.586337 14.674578,68.586642 14.698755,68.588346 14.705567,68.579882 14.743235,68.577334 14.793423,68.578058 14.820194,68.574501 14.826926,68.569934 14.851194,68.568002 14.850367,68.570674 14.863613,68.574452 14.866184,68.57519 14.88964,68.569341 14.911367,68.569677 14.91305,68.566549 14.914652,68.563571 14.91643,68.560226 14.965732,68.557957 14.990808,68.558938 14.997304,68.555494 15.0025,68.55274 15.001764,68.550068 15.00076,68.546507 14.998335,68.537745 14.990819,68.53187 14.959098,68.526322 14.932704,68.512439 14.927453,68.509675 14.904985,68.501188 14.88581,68.497589 14.870805,68.500842 14.844135,68.500165 14.80019,68.50077 14.799949,68.500773 14.760376,68.499716 14.745646,68.505076 14.738469,68.493406 14.708999,68.502326 14.72481,68.511097 14.722587,68.512224</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>15.041847,68.676049 15.051693,68.672485 15.051414,68.6713 15.049778,68.66436 15.031153,68.636042 15.027054,68.6298 15.078259,68.646098 15.144411,68.654219 15.154222,68.644979 15.167242,68.632706 15.191166,68.632133 15.193753,68.630318 15.195021,68.629427 15.198523,68.626968 15.200466,68.626339 15.200466,68.626339 15.188548,68.622429 15.167528,68.612344 15.140047,68.614629 15.123385,68.609969 15.085779,68.599445 15.076168,68.596751 15.070903,68.593551 15.049343,68.580455 15.030103,68.578182 15.003018,68.58195 14.986552,68.584238 14.957439,68.588269 14.957316,68.588287 14.957242,68.588278 14.910477,68.583703 14.870193,68.586144 14.851901,68.58725 14.850525,68.602289 14.850128,68.606549 14.882349,68.603453 14.884438,68.603248 14.883353,68.60401 14.862583,68.618559 14.825479,68.617296 14.813129,68.621776 14.820442,68.632529 14.814677,68.636783 14.788723,68.631855 14.785934,68.64056 14.837323,68.651577 14.85062,68.654424 14.855693,68.646608 14.896196,68.652646 14.901804,68.653484 14.926638,68.662384 14.934264,68.665114 14.943738,68.668507 14.999975,68.67388 15.030357,68.675456 15.041847,68.676049</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>15.200498,68.479579 15.138018,68.476315 15.133726,68.477358 15.129908,68.480402 15.129249,68.484734 15.137283,68.487939 15.157171,68.491069 15.177222,68.492359 15.194717,68.489066 15.203025,68.483504 15.200498,68.479579</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
,,3,Kommune,Lavangen,1920,1000/01/01,101047.60414300000,323808706.45999997854,"<Polygon><outerBoundaryIs><LinearRing><coordinates>18.010743,68.739092 17.9949,68.725925 18.044296,68.711451 18.048594,68.701933 18.049829,68.699197 18.050161,68.698461 18.049065,68.688154 18.048186,68.679883 18.04781,68.676341 18.045572,68.655244 17.999284,68.65004 18.023286,68.608458 17.862115,68.602332 17.799141,68.599895 17.797601,68.599835 17.793392,68.619151 17.821976,68.629105 17.815581,68.633991 17.808723,68.639228 17.809509,68.639686 17.838183,68.656418 17.838818,68.661266 17.839393,68.665659 17.840824,68.676579 17.842897,68.692371 17.793937,68.688879 17.762709,68.695194 17.722301,68.703352 17.702859,68.707271 17.669048,68.703321 17.600452,68.70964 17.614622,68.722239 17.596347,68.737204 17.600732,68.744548 17.606955,68.754964 17.565865,68.759856 17.507638,68.766767 17.475933,68.77754 17.454147,68.784933 17.42643,68.794328 17.443418,68.794996 17.454405,68.810744 17.459126,68.817505 17.460093,68.818888 17.460093,68.818888 17.468402,68.819519 17.48038,68.81744 17.507785,68.812678 17.582809,68.790874 17.64496,68.780321 17.675017,68.781169 17.724276,68.777737 17.746856,68.773405 17.79415,68.747812 17.804522,68.748637 17.802045,68.756502 17.796561,68.773921 17.769703,68.789397 17.734755,68.793456 17.656092,68.794706 17.63211,68.799666 17.603347,68.806787 17.603347,68.806787 17.612454,68.811983 17.615754,68.813865 17.630388,68.822205 17.680267,68.818992 17.700199,68.830435 17.750418,68.833892 17.786886,68.821547 17.789131,68.820786 17.794203,68.819067 17.810742,68.832024 17.843491,68.831162 17.845051,68.822894 17.85106,68.818748 17.851692,68.818576 17.874286,68.812442 17.889167,68.808399 17.971481,68.785983 17.942283,68.75114 18.010743,68.739092</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,,4,Kommune,Torsken,1928,1000/01/01,163146.70172600000,1077179532.00999999046,"<Polygon><outerBoundaryIs><LinearRing><coordinates>17.407474,69.29873 17.384056,69.296359 17.346362,69.292536 17.314921,69.289339 17.269676,69.284728 17.272064,69.282436 17.282566,69.272354 17.284913,69.270098 17.248724,69.264049 17.260651,69.252623 17.196759,69.242743 17.217267,69.21514 17.25918,69.207578 17.206693,69.197738 17.202833,69.199601 17.20271,69.19966 17.128331,69.187225 17.091585,69.18082 17.06983,69.181747 17.058719,69.185092 17.043484,69.189688 16.985838,69.190362 16.969149,69.194438 16.960184,69.196622 16.925262,69.200165 16.917989,69.200416 16.890287,69.197403 16.895598,69.207958 16.927191,69.205132 16.929446,69.204927 16.942034,69.20876 16.938363,69.21178 16.93714,69.212799 16.897994,69.220671 16.882049,69.22387 16.877777,69.224724 16.890921,69.229703 16.905747,69.235326 16.905851,69.235361 16.908161,69.23547 16.993828,69.239338 16.996126,69.240675 17.002143,69.244212 17.013903,69.241725 17.076875,69.228408 17.099481,69.226646 17.110819,69.226014 17.130413,69.229416 17.136556,69.248703 17.136734,69.24923 17.135051,69.248838 17.112524,69.243561 17.099334,69.252345 17.104718,69.25777 17.113416,69.266511 17.119398,69.27253 17.129292,69.274741 17.179797,69.285992 17.16431,69.290816 17.158243,69.289717 17.101086,69.279348 17.09451,69.278154 17.08108,69.267316 17.075646,69.262922 17.052788,69.260566 17.009437,69.271932 17.018538,69.276097 17.055259,69.27596 17.059463,69.275946 17.056911,69.28136 17.035884,69.282766 17.019716,69.283853 17.00541,69.284809 16.955845,69.276162 16.947966,69.285465 17.02286,69.303689 17.017029,69.306718 17.010163,69.306538 16.990811,69.306035 16.961423,69.299462 16.921135,69.297276 16.897175,69.312353 16.903663,69.316884 16.920944,69.319708 16.961486,69.319199 16.998124,69.32865 17.04978,69.33002 17.060956,69.326039 17.11513,69.306678 17.130598,69.30918 17.096928,69.321228 17.103838,69.329372 17.153682,69.338962 17.148998,69.33989 17.128835,69.343881 17.106113,69.338922 17.093136,69.336088 17.067358,69.337761 17.02151,69.354703 17.032834,69.363453 17.068382,69.360368 17.069589,69.360264 17.160143,69.350977 17.165909,69.356252 17.043154,69.370904 17.019536,69.370848 17.001714,69.367439 16.990577,69.360327 16.879885,69.364522 16.867017,69.37749 16.912994,69.373042 16.93315,69.38302 16.918916,69.390418 16.9385,69.393816 16.939505,69.404992 16.962179,69.404074 16.985694,69.392951 17.015652,69.394912 17.015683,69.395243 17.023236,69.401077 17.064461,69.401579 17.07882,69.386927 17.105548,69.382657 17.131474,69.403432 17.134528,69.402421 17.175733,69.388768 17.205574,69.381451 17.212286,69.363629 17.215763,69.354385 17.274559,69.348652 17.302457,69.354466 17.30579,69.350293 17.329186,69.320958 17.32927,69.320852 17.407474,69.29873</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,,5,Kommune,Balsfjord,1933,1000/01/01,224307.50390700001,1743519975.58999991417,"<Polygon><outerBoundaryIs><LinearRing><coordinates>19.642217,69.282091 19.682534,69.259001 19.700843,69.248496 19.712379,69.241871 19.741601,69.238848 19.766872,69.236228 19.79416,69.233395 19.801988,69.232581 19.822255,69.230473 19.824397,69.229929 19.853493,69.222544 19.919784,69.205679 19.923691,69.193654 19.929251,69.176521 19.93342,69.163656 19.937225,69.151901 19.942892,69.134374 19.949503,69.113888 19.953891,69.100273 19.986909,69.092577 19.991438,69.09152 19.974343,69.079803 19.965579,69.073791 19.933993,69.074623 19.929343,69.073711 19.827853,69.053749 19.786352,69.033002 19.744611,69.04443 19.713893,69.052826 19.68084,69.049657 19.65016,69.046708 19.604675,69.042325 19.578119,69.042505 19.518635,69.042894 19.502626,69.042995 19.444315,69.04335 19.443151,69.043127 19.429009,69.040413 19.394295,69.033742 19.375567,69.054928 19.340658,69.054274 19.341072,69.0535 19.351285,69.034385 19.351373,69.03422 19.351103,69.034299 19.327096,69.041272 19.312737,69.035425 19.290665,69.042297 19.242152,69.057376 19.196577,69.071511 19.143649,69.087889 19.141632,69.089151 19.113765,69.106586 19.03422,69.122785 19.035005,69.136724 19.035188,69.139974 19.035211,69.140379 19.034199,69.140687 19.016948,69.145928 19.000916,69.13968 18.930577,69.165588 18.923507,69.168187 18.824201,69.204598 18.798046,69.214159 18.769062,69.224738 18.745412,69.242632 18.737221,69.248821 18.720113,69.261736 18.719154,69.262459 18.713006,69.265184 18.713006,69.265184 18.714856,69.278984 18.658379,69.299913 18.651234,69.302552 18.649687,69.303923 18.63902,69.313417 18.665463,69.313855 18.677373,69.321893 18.743507,69.322792 18.751592,69.325006 18.7592,69.327096 18.792305,69.325817 18.897249,69.321724 18.894191,69.314489 18.854824,69.305759 18.946286,69.296401 18.950595,69.286348 19.006202,69.287727 18.974455,69.299088 18.933979,69.327864 18.895242,69.330052 18.863122,69.331311 18.815692,69.333154 18.791953,69.337861 18.640448,69.367761 18.638549,69.368133 18.60316,69.383134 18.602559,69.384718 18.59871,69.394704 18.594536,69.405523 18.545292,69.428081 18.485925,69.443542 18.476879,69.436755 18.446511,69.443322 18.460017,69.463708 18.478216,69.481306 18.473984,69.486778 18.443915,69.509825 18.476796,69.515629 18.495437,69.516636 18.500727,69.512946 18.508446,69.507558 18.512028,69.505056 18.519371,69.499926 18.543448,69.493533 18.566575,69.487386 18.578297,69.484267 18.58345,69.48371 18.682517,69.47297 18.682974,69.471545 18.687592,69.457139 18.689263,69.451923 18.690692,69.447459 18.708531,69.448988 18.726865,69.450558 18.860176,69.461907 18.882181,69.463769 18.890814,69.464207 18.903488,69.464848 18.903488,69.464848 18.903488,69.464848 18.905528,69.460719 18.912327,69.446939 18.976336,69.426431 18.982193,69.424545 18.996776,69.419862 18.987333,69.403512 18.981625,69.393626 19.089652,69.348128 19.137577,69.341985 19.149432,69.343022 19.160382,69.343981 19.19425,69.346947 19.291958,69.344157 19.321262,69.335412 19.347173,69.310047 19.339611,69.301115 19.33555,69.296319 19.31649,69.290541 19.285667,69.281199 19.271137,69.271098 19.253535,69.259491 19.244944,69.253816 19.238449,69.251837 19.231791,69.249799 19.232173,69.248639 19.237296,69.232707 19.256892,69.22481 19.283638,69.221801 19.286038,69.222164 19.310027,69.225825 19.312071,69.231787 19.359945,69.23726 19.43585,69.226775 19.518422,69.215326 19.534926,69.213031 19.536374,69.214269 19.541367,69.218542 19.527849,69.221451 19.484799,69.230712 19.428235,69.247536 19.410874,69.266352 19.407886,69.290813 19.415622,69.320006 19.354976,69.366301 19.355839,69.366725 19.362045,69.36978 19.373689,69.375509 19.33862,69.373386 19.315263,69.371968 19.28084,69.37895 19.237098,69.380025 19.180837,69.376646 19.137565,69.374971 19.113144,69.374015 19.105553,69.377646 19.07345,69.39295 19.05951,69.431426 19.046427,69.435765 19.044431,69.436431 19.0337,69.439987 19.021457,69.440675 19.003927,69.441664 18.968909,69.462699 18.9786,69.476735 18.980858,69.478139 18.995625,69.487297 18.994615,69.493851 18.994615,69.493851 19.012295,69.494007 19.038453,69.472293 19.042897,69.4686 19.07506,69.455962 19.105527,69.443971 19.143278,69.410377 19.182855,69.403713 19.200694,69.413769 19.176436,69.42657 19.169191,69.430389 19.214732,69.438459 19.238087,69.44259 19.265421,69.447419 19.267607,69.447805 19.327205,69.458311 19.36261,69.455476 19.3787,69.436773 19.350539,69.429643 19.351085,69.411143 19.32948,69.408978 19.379244,69.398068 19.382708,69.396523 19.386633,69.394772 19.410988,69.3839 19.434866,69.373227 19.44698,69.367807 19.485467,69.350564 19.519008,69.352146 19.52835,69.361457 19.576629,69.358077 19.58165,69.353985 19.582353,69.353411 19.592615,69.345041 19.594711,69.343331 19.583203,69.338555 19.590947,69.335664 19.612389,69.327651 19.617728,69.325655 19.627069,69.32216 19.655866,69.32252 19.642217,69.282091</coordinates></LinearRing></outerBoundaryIs></Polygon>"
